Year,Country,Happiness Score,Social Support,Healthy Life Expectancy,Freedom,Corruption,Generosity,Log GDP per Capita
2016,Canada,7.404,1.0961,0.8276,0.5737,0.31329,0.44834,10.74661258
2017,Canada,7.315999985,1.481348991,0.834557652,0.611100912,0.287371516,0.435539722,10.78554074
2018,Canada,7.328,1.532,0.896,0.653,0.291,0.321,10.81963098
2019,Canada,7.278,1.505,1.039,0.584,0.308,0.285,10.80587206
2020,Canada,7.23210001,0.927176654,73.60160065,0.933913231,0.390843362,0.124770768,10.74959847
2021,Canada,7.103,0.926,73.8,0.915,0.415,0.089,10.776
2015,Chad,3.667,0.76062,0.1501,0.23501,0.05269,0.18386,7.506624697
2016,Chad,3.763,0.63178,0.03824,0.12807,0.04952,0.18667,7.417287618
2017,Chad,3.936000109,0.953855872,0.041134715,0.162342027,0.053581882,0.21611385,7.369621091
2018,Chad,4.301,0.907,0.053,0.189,0.06,0.181,7.38657511
2019,Chad,4.35,0.766,0.192,0.174,0.078,0.198,7.406363609
2020,Chad,4.422699928,0.632388055,48.22053909,0.587305248,0.802760839,0.017834719,7.379231838
2021,Chad,4.355,0.619,48.478,0.579,0.807,0.041,7.364
2015,Chile,6.67,1.12447,0.85857,0.44132,0.12869,0.33363,10.03005613
2016,Chile,6.705,0.90587,0.81883,0.37789,0.11451,0.31595,10.06209653
2017,Chile,6.65199995,1.284024954,0.819479704,0.376895279,0.082287982,0.326662421,10.10523191
2018,Chile,6.476,1.331,0.808,0.431,0.061,0.197,10.15479629
2019,Chile,6.444,1.369,0.92,0.357,0.056,0.187,10.14232718
2020,Chile,6.228499889,0.879713595,69.90061951,0.744896293,0.838239431,-0.065668367,10.13102781
2021,Chile,6.172,0.882,70,0.742,0.83,-0.044,10.071
2015,China,5.14,0.94675,0.81658,0.51697,0.02781,0.08185,9.464788951
2016,China,5.245,0.79381,0.73561,0.44012,0.02745,0.04959,9.509212892
2017,China,5.272999763,1.160837412,0.741415501,0.472787708,0.022794275,0.028806841,9.564058231
2018,China,5.246,1.142,0.799,0.597,0.103,0.029,9.648424965
2019,China,5.191,1.125,0.893,0.521,0.1,0.058,9.720366006
2020,China,5.123899937,0.798760593,69.2891922,0.898517907,0.7539711,-0.18142575,9.753290333
2021,China,5.339,0.811,69.593,0.904,0.755,-0.146,9.673
2015,Colombia,6.477,1.24018,0.69077,0.53466,0.0512,0.18401,9.492944367
2016,Colombia,6.481,1.02169,0.59659,0.44735,0.05399,0.15626,9.533300013
2017,Colombia,6.356999874,1.402182937,0.595027924,0.477487415,0.046668742,0.149014473,9.558975518
2018,Colombia,6.26,1.439,0.635,0.531,0.039,0.099,9.618738198
2019,Colombia,6.125,1.41,0.841,0.47,0.034,0.099,9.660691741
2020,Colombia,6.163400173,0.884440243,67.69958496,0.836179912,0.86457181,-0.161235645,9.611198005
2021,Colombia,6.012,0.847,68.001,0.837,0.841,-0.135,9.557
2015,Congo,4.517,1.0012,0.09806,0.22605,0.07625,0.24834,6.80843272
2016,Congo,4.272,0.80676,0.188,0.15602,0.06075,0.25458,6.870748157
2017,Congo,4.290999889,0.832044363,0.289957434,0.435025871,0.079618134,0.120852128,6.965845645
2018,Congo,4.559,0.811,0.343,0.514,0.077,0.091,7.01388471
2019,Congo,4.812,0.799,0.508,0.372,0.093,0.105,7.042619184
2020,Congo,5.194399834,0.640228093,57.92448044,0.719058514,0.751779079,-0.123674095,7.040378
2021,Congo,5.342,0.636,58.221,0.695,0.745,-0.068,8.117
2015,Costa Rica,7.226,1.23788,0.86027,0.63376,0.10583,0.25497,9.746295386
2016,Costa Rica,7.087,1.02152,0.76146,0.55225,0.10547,0.22553,9.85613409
2017,Costa Rica,7.078999996,1.416403651,0.759509265,0.58013165,0.100106589,0.214613229,9.920690469
2018,Costa Rica,7.072,1.459,0.817,0.632,0.101,0.143,9.967356036
2019,Costa Rica,7.167,1.441,0.963,0.558,0.093,0.144,10.02177271
2020,Costa Rica,7.121399879,0.901545942,71.29985046,0.934738934,0.786332428,-0.10242971,10.00480102
2021,Costa Rica,7.069,0.891,71.4,0.934,0.809,-0.126,9.88
2015,Croatia,5.759,0.79624,0.78805,0.25883,0.0243,0.05444,10.05626327
2016,Croatia,5.488,0.60809,0.70524,0.23907,0.04002,0.18434,10.13503501
2017,Croatia,5.293000221,0.967983007,0.701288521,0.255772293,0.04310311,0.248002976,10.20928276
2018,Croatia,5.321,1.161,0.737,0.38,0.039,0.12,10.2696893
2019,Croatia,5.432,1.266,0.914,0.296,0.022,0.119,10.32799092
2020,Croatia,5.504700184,0.874623716,70.21490479,0.714838803,0.916495264,-0.128538325,10.26957802
2021,Croatia,5.882,0.924,70.799,0.754,0.939,-0.118,10.217
2015,Cyprus,5.695,1.07008,0.92356,0.49027,0.1428,0.26169,10.36770177
2016,Cyprus,5.771,0.81826,0.84142,0.43596,0.16578,0.26322,10.48344337
2017,Cyprus,5.809999943,1.186303377,0.834647238,0.471203625,0.155353352,0.266845703,10.55289101
2018,Cyprus,5.835,1.211,0.909,0.495,0.154,0.179,10.60939526
2019,Cyprus,6.046,1.223,1.042,0.406,0.041,0.19,10.65453189
2020,Cyprus,6.15899992,0.805996239,73.70222473,0.779858291,0.856271744,0.043731496,10.58286201
2021,Cyprus,5.536,0.82,73.898,0.795,0.626,0.012,10.576
2015,Czech Republic,6.505,1.20643,0.84483,0.46364,0.02652,0.10686,10.43114925
2016,Czech Republic,6.596,1.00793,0.76376,0.41418,0.03986,0.09929,10.49398458
2017,Czech Republic,6.609000206,1.433885217,0.754444003,0.490946174,0.036872927,0.088106759,10.56681676
2018,Czech Republic,6.711,1.489,0.854,0.543,0.034,0.064,10.6246266
2019,Czech Republic,6.852,1.487,0.92,0.457,0.036,0.046,10.66539102
2020,Czech Republic,6.910900116,0.914430678,70.04793549,0.818537354,0.85844624,-0.230861515,10.63595132
2021,Czech Republic,6.965,0.947,70.807,0.858,0.868,-0.208,10.556
2015,Denmark,7.527,1.36058,0.87464,0.64938,0.48357,0.34139,10.80050044
2016,Denmark,7.526,1.16374,0.79504,0.57941,0.44453,0.36171,10.85853746
2017,Denmark,7.521999836,1.551121593,0.792565525,0.626006722,0.400770068,0.355280489,10.92155263
2018,Denmark,7.555,1.59,0.868,0.683,0.408,0.284,10.95924388
2019,Denmark,7.6,1.573,0.996,0.592,0.41,0.252,10.98021161
2020,Denmark,7.645599842,0.955990791,72.40250397,0.951444268,0.168489456,0.066201776,11.00592443
2021,Denmark,7.62,0.954,72.7,0.946,0.179,0.03,10.933
2015,Dominican Republic,4.885,1.17202,0.66825,0.57672,0.14234,0.21684,9.598376261
2016,Dominican Republic,5.155,0.99496,0.57669,0.52259,0.12372,0.21286,9.687187014
2017,Dominican Republic,5.230000019,1.402416706,0.574873745,0.552589834,0.113945253,0.18696785,9.725279389
2018,Dominican Republic,5.302,1.441,0.614,0.578,0.106,0.12,9.805712219
2019,Dominican Republic,5.425,1.401,0.779,0.497,0.101,0.113,9.86222694
